Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,"2018,avg","2017,avg","2016,avg","2015,avg","2014,avg","2013,avg","2012,avg","2011,avg","2010,avg","2009,avg","2008,avg"
World,Climate Watch,Energy,All GHG,MtCO₂e,37603.22,36777.63,36188.89,36173.7,36279.47,36184.99,35563.41,35154.37,34193.57,32273.72,32761.33,4.92763E-06,4.87259E-06,4.84844E-06,4.90172E-06,4.973E-06,5.01832E-06,4.99078E-06,4.99267E-06,4.91511E-06,4.69588E-06,4.82559E-06
World,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,15875.48,15416.96,15081.51,15059.71,15336.57,15390.22,15120.13,14819.52,14211.19,13313.89,13527.5,2.08037E-06,2.04256E-06,2.02056E-06,2.04067E-06,2.10226E-06,2.13439E-06,2.12188E-06,2.10469E-06,2.04277E-06,1.93719E-06,1.99254E-06
World,Climate Watch,Transportation,All GHG,MtCO₂e,8417.75,8278.48,8073.9,7923.23,7685.67,7558.39,7363.53,7304.02,7188.99,6895.3,7035.93,1.10309E-06,1.0968E-06,1.08171E-06,1.07364E-06,1.05351E-06,1.04824E-06,1.03336E-06,1.03733E-06,1.03337E-06,1.00328E-06,1.03636E-06
World,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,6222.67,6126.09,6183.87,6370.43,6452.88,6408,6378.33,6354.65,6124.86,5580.51,5599.04,8.15436E-07,8.11633E-07,8.2849E-07,8.63226E-07,8.84527E-07,8.88694E-07,8.951E-07,9.02496E-07,8.8041E-07,8.11974E-07,8.24712E-07
World,Climate Watch,Agriculture,All GHG,MtCO₂e,5803.01,5815.96,5728.56,5682.1,5655.9,5608.45,5667.25,5640.65,5506.82,5448.62,5456.54,7.60443E-07,7.70544E-07,7.6749E-07,7.69953E-07,7.75281E-07,7.77808E-07,7.95311E-07,8.01093E-07,7.91571E-07,7.92784E-07,8.03722E-07
World,Climate Watch,Fugitive Emissions,All GHG,MtCO₂e,3354.45,3242.85,3202.1,3211.03,3218.62,3184.65,3178.48,3120.3,3041.46,2926.5,2976.57,4.39577E-07,4.29638E-07,4.29005E-07,4.35111E-07,4.41191E-07,4.41663E-07,4.46051E-07,4.43149E-07,4.37191E-07,4.25811E-07,4.38434E-07
World,Climate Watch,Building,All GHG,MtCO₂e,3105.54,3072.67,3005.85,2968.2,2938.79,2991.88,2878.58,2935.4,2991.4,2937.93,2991.19,4.06959E-07,4.07092E-07,4.02712E-07,4.02206E-07,4.02834E-07,4.14929E-07,4.03964E-07,4.1689E-07,4.29995E-07,4.27474E-07,4.40588E-07
World,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2967.38,2854.38,2785.78,2685.92,2694.22,2572.86,2457.21,2374.81,2221.78,2087.71,2041.38,3.88854E-07,3.78171E-07,3.73228E-07,3.63956E-07,3.69309E-07,3.56817E-07,3.44832E-07,3.37274E-07,3.19367E-07,3.03766E-07,3.00685E-07
World,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,1387.56,1220.05,1267.61,786.46,737.94,388.26,432.64,404.68,1490.21,1825.13,1446.93,1.8183E-07,1.61642E-07,1.69829E-07,1.06569E-07,1.01153E-07,5.38459E-08,6.07143E-08,5.74732E-08,2.14208E-07,2.6556E-07,2.13126E-07
World,Climate Watch,Waste,All GHG,MtCO₂e,1606.86,1583.86,1560.85,1543.59,1514.26,1484.04,1476.63,1467.31,1465.13,1454.29,1432.93,2.10568E-07,2.09842E-07,2.09116E-07,2.09164E-07,2.07567E-07,2.05814E-07,2.07222E-07,2.08389E-07,2.10603E-07,2.11602E-07,2.11064E-07
World,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,1322.29,1296.12,1237.89,1195.6,1142.8,1106.05,1099.28,1145.23,1130.54,1058.94,1112.94,1.73277E-07,1.7172E-07,1.65848E-07,1.6201E-07,1.56649E-07,1.53393E-07,1.54267E-07,1.62647E-07,1.62508E-07,1.54078E-07,1.63931E-07
World,Climate Watch,Other Fuel Combustion,All GHG,MtCO₂e,627.34,640.57,641.66,641.11,646.94,651.85,644.37,620.48,635.67,619.59,631.11,8.22084E-08,8.48678E-08,8.59671E-08,8.68737E-08,8.86791E-08,9.04019E-08,9.04274E-08,8.81214E-08,9.13736E-08,9.01515E-08,9.29595E-08
